,Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Supplier Group,Address,City,State,Country / Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
523,"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II",FINISHED GOODS,Footwear,Nike,CHING LUH,HOA PHU INDUSTRIAL PARK,LONG HO DISTRICT,Vinh Long,Vietnam,SE ASIA,686.0,566.0,45.0,0.0
524,"Vietnam ECI Elastic Co., Ltd",MATERIALS,Apparel,Nike,ECI,D1 2 1 Da Deng Industrial Park,Thu Dau Mot,Bình Duong,Vietnam,SE ASIA,320.0,285.0,50.0,0.0
525,"Vietnam Golden Victory Co., Ltd.",FINISHED GOODS,Footwear,Nike,STELLA,DONG KY VILLAGE NGHIA MINH WARD NGHIA HUNG DISTRICT,Nam Dinh,Nam Ðnh,Vietnam,SE ASIA,4636.5,4012.0,80.0,0.0
526,TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,Footwear,Nike,TAEKWANG,"Hiep Thanh Commercial Area, Loi Thuan Commune, ",Tay Ninh,Tây Ninh,Vietnam,SE ASIA,4636.5,4012.0,77.0,0.0
527,Vietnam Pou Sung Co. Ltd.,FINISHED GOODS,Footwear,Nike,POU CHEN,Bau Xeo Industrial Zone Hill Village 61,TRANG BOM,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,82.0,0.0
528,Vietnam Weilina Footwear Co. Ltd,FINISHED GOODS,Footwear,Nike,HUALI,Vuc Phac Village,Yen Dinh District,Thanh Hóa,Vietnam,SE ASIA,4636.5,4012.0,67.0,0.0
529,VIMAL CLOTHING ENTERPRISE CC,FINISHED GOODS,Apparel,Nike,VIMAL CLOTHING,4 Fairways Avenue Fairways Park,DURBAN,Kwazulu-Natal,South Africa,EMEA,221.0,213.0,90.0,0.0
530,VINH TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,1A HUNG DAO VUONG WARD 1 VINH LONG CITY VINH LONG PROVINCE,Vinh Long,Vinh Long,Vietnam,SE ASIA,1912.0,1818.0,73.0,0.0
531,VIRTUE KING VIETNAM COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,GUANG DER,No 28 DT743 Road Song Than 2 Industrial Zone,Binh Duong,Bình Duong,Vietnam,SE ASIA,1608.0,1553.0,71.0,0.0
532,Vo Nhai 1 Garment Branch – TNG Investment and Trading JSC,FINISHED GOODS,Apparel,Nike,VO NHAI 1 GARMENT BRANCH,Cay Bong Industrial Park La Hien Commune Vo Nhai District,Thai Nguyen,Thái Nguyên,Vietnam,SE ASIA,734.0,705.0,75.0,0.0
533,"Vung Tau Orient Co., Ltd - unit 02",FINISHED GOODS,Equipment,Nike,FENG TAY, Chau Duc Industrial zone Ba Ria Vung Tau Province,Chau Duc District,Bà Ra - Vung Tàu,Vietnam,SE ASIA,3110.0,2623.0,73.0,0.0
534,"Vung Tau Orient Co., Ltd",FINISHED GOODS,Equipment,Nike,FENG TAY,11 Road Dong Xuyen Industrial Zone Ward Rach Dua,Vung Tau,Bà Ra - Vung Tàu,Vietnam,SE ASIA,1464.0,1413.0,61.0,0.0
535,Walt Technology Cambodia Co Ltd,FINISHED GOODS,Equipment,Nike,ZHEJIANG WALT,NO 212 km Highway No 4,Sihanouk ville,Krong Preah Sihano,Cambodia,SE ASIA,550.0,530.0,40.0,2.5
536,"Walt Technology Group Co., Ltd.",FINISHED GOODS,Equipment,Nike,ZHEJIANG WALT,48 Shijing Road,Haining,Zhejiang,China,N ASIA,855.0,394.0,85.0,1.0
537,Walt USA LLC,FINISHED GOODS,Equipment,Nike,ZHEJIANG WALT,2929 N Main St,N Logan,Utah,USA,AMERICAS,43.0,39.0,24.0,2.5
538,Wan Way,FINISHED GOODS,Equipment,Nike,WAN WAY,No 89 Sec 4,Tainan,Tainan,Taiwan,N ASIA,9.0,6.0,33.0,0.0
539,WELLPOWER SPORTING GOODS CO LTD,FINISHED GOODS,Equipment,Nike,WELLPOWER,NO 112 LIAOFU ROAD,Dongguan,Guangdong,China,N ASIA,680.0,500.0,74.0,0.0
540,WILSON (VIETNAM) LTD,FINISHED GOODS - COMPONENTS,Apparel,Nike,WILSON GARMENT,Lot B5 1 Road D11,Trang Bang,Tây Ninh,Vietnam,SE ASIA,500.0,450.0,55.0,2.5
541,"Wonjin Korea Glotech Co., Ltd.",FINISHED GOODS - COMPONENTS,Footwear,Nike,WONJIN TECH,Road No 7 Long Thanh IZ,Tam An Village,Ðng Nai,Vietnam,SE ASIA,56.0,38.0,55.0,2.5
542,"Worldon Vietnam Co., Ltd.",FINISHED GOODS,Apparel,Nike,SHENZHOU,Hoa Phu Commune Cu Chi District,Ho Chi Minh,Ho Chi Minh,Vietnam,SE ASIA,4636.5,4012.0,83.0,0.0
543,"Xiamen Expanding Industrial Co., Ltd",FINISHED GOODS,Apparel,Nike,HADDAD,NO 21 Siming Park Tongan Industrial Concentration Zone,Xiamen,Fujian,China,N ASIA,85.0,76.0,57.0,0.0
544,"Xiamen Goge Garment Co., LTD",FINISHED GOODS,Apparel,Nike,XIAMEN GOGE,Room 703 No 9 to 6 Tongming North Road Tongan District,Xiamen,Fujian,China,N ASIA,36.0,28.0,85.0,0.0
545,"Xiamen Hongting Garment Co., Ltd.",FINISHED GOODS,Apparel,Nike,HADDAD,No175 Ji an Road tongan District,Xiamen,Fujian,China,N ASIA,103.0,93.0,87.0,0.0
546,"Xiamen Kaiyuan Technology Co.,Ltd",FINISHED GOODS,Apparel,Nike,XIAMEN KAIYUAN,2nd floor No 250 Jinting North Road,Xiamen,Fujian,China,N ASIA,25.0,19.0,77.0,0.0
547,XIANG ZHOU LEATHER CO LTD (CHINA),MATERIALS,Footwear,Nike,XIANG ZHOU LEATHER,Chihu Industry Area Zhangzhou Fujian China,"Zhangzhou, Fujian",Fujian,China,N ASIA,360.0,290.0,45.0,0.0
548,"Xinchang Shoes Co.,Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,DEAN SHOES,Huafeng Industry Garden,Xinning,Guangdong,China,N ASIA,4405.0,4012.0,87.0,0.0
549,"XingNing City XinChang Shoes Co., LTD. YeTang Branch",MATERIALS,Footwear,Nike,DEAN SHOES,West side of Tongzhong Road Line S225,Meizhou,Guangdong,China,N ASIA,771.0,675.0,70.0,0.0
550,"Y&W Garment Co., LTD",FINISHED GOODS,Apparel,Nike,Y W GARMENT,Ka To Factory Building Cheung Yue Street ,Phnom Penh,Phnom Penh,Cambodia,SE ASIA,3750.0,3179.0,58.0,1.0
551,Yangxin Poujia Footwear Co. Ltd.,FINISHED GOODS,Footwear,Nike,POU CHEN,No 1 Baojia Rd North Industrial Park YangXin HUBEI CHINA,Huangshi,Hubei,China,N ASIA,1955.0,1647.0,96.0,0.0
552,"Yantai NE Apparel CO.,LTD",FINISHED GOODS,Apparel,Nike,NICE APPAREL,No 26 Haiyang Yantai Economic Development Zone,Yantai,Shandong,China,N ASIA,789.0,639.0,93.0,0.0
